1884968 | 3-Futbol   |    0 | $5144.58  
3563458 | 4-Patin    |    0 | $3686.97  
5146484 | 2-Karate   |    0 | $3037.95  
8951561 | 3-Futbol   |    0 | $3056.79  
9184450 | 1-Basquet  |    0 | $3277.58  
9344584 | 2-Karate   |    0 | $5552.55  
2184852 | 1-Basquet  |    0 | $7169.24  
3552936 | 2-Karate   |    0 | $6040.42  
3907187 | 1-Basquet  |    0 | $4206.39  
2170601 | 2-Karate   |    0 | $5994.05  
7523103 | 1-Basquet  |    0 | $3711.90  
8305532 | 4-Patin    |    0 | $2874.50  
4958795 | 2-Karate   |    0 | $6023.37  
3478553 | 4-Patin    |    0 | $3067.28  
7330700 | 4-Patin    |    0 | $7250.13  
2036056 | 4-Patin    |    0 | $7431.23  
600419 | 4-Patin    |    0 | $7166.86  
994704 | 4-Patin    |    0 | $3808.38  
5491876 | 3-Futbol   |    0 | $5143.31  
6021419 | 2-Karate   |    0 | $4450.21  
7578359 | 1-Basquet  |    0 | $7585.89  
6084009 | 4-Patin    |    0 | $2920.09  
1571864 | 1-Basquet  |    0 | $2855.88  
5809061 | 3-Futbol   |    0 | $2905.87  
5910745 | 4-Patin    |    0 | $3222.94  
3759396 | 1-Basquet  |    0 | $6270.19  
7441106 | 3-Futbol   |    0 | $3823.25  
3517942 | 2-Karate   |    0 | $6132.56  
7859935 | 1-Basquet  |    0 | $4790.96  
1900008 | 1-Basquet  |    0 | $7853.01  
1819982 | 2-Karate   |    0 | $7125.36  
9459109 | 3-Futbol   |    0 | $5262.36  
5146975 | 4-Patin    |    0 | $7305.36  
4271254 | 1-Basquet  |    0 | $6668.18  
6704918 | 3-Futbol   |    0 | $4084.36  
3549741 | 4-Patin    |    0 | $4257.10  
8672361 | 1-Basquet  |    0 | $5728.45  
6920593 | 4-Patin    |    0 | $7354.90  
9901337 | 4-Patin    |    0 | $4557.97  
6698380 | 1-Basquet  |    0 | $4041.08  
5183592 | 4-Patin    |    0 | $6532.05  
7109640 | 2-Karate   |    0 | $6774.99  
3012715 | 4-Patin    |    0 | $4228.94  
1531354 | 1-Basquet  |    0 | $3029.65  
3572197 | 4-Patin    |    0 | $6957.20  
5596824 | 3-Futbol   |    0 | $6464.31  
956297 | 1-Basquet  |    0 | $3678.30  
6938225 | 1-Basquet  |    0 | $3415.98  
9077681 | 1-Basquet  |    0 | $7476.35  
5540304 | 1-Basquet  |    0 | $3443.16  
6220020 | 1-Basquet  |    0 | $4111.09  
7289821 | 4-Patin    |    0 | $6344.08  
7280436 | 1-Basquet  |    0 | $4550.13  
4498774 | 1-Basquet  |    0 | $3770.61  
6453796 | 1-Basquet  |    0 | $6366.86  
7533537 | 3-Futbol   |    0 | $4309.84  
3872136 | 1-Basquet  |    0 | $7180.65  
839122 | 1-Basquet  |    0 | $5731.66  
986115 | 3-Futbol   |    0 | $4525.99  
4749682 | 4-Patin    |    0 | $3506.35  
5174112 | 4-Patin    |    0 | $3384.82  
1507336 | 3-Futbol   |    0 | $7268.39  
6835478 | 1-Basquet  |    0 | $5345.20  
